module_name	donor_id	sample_id	compartment	n_nuclei	n_genes_used_after_driver_removal	mean_module_score	median_module_score	sd_module_score	se_module_score	notes
MAGMA_suggestive_p1e4	GSM7290914	GSM7290914	Fibroblast_stromal	26	166	0.120155191288542	0.111007970299659	0.04384420768454	0.00859855655928785	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290912	GSM7290912	Pericyte_smooth_muscle	14	40	0.171204954119276	0.16354789825751	0.0683272454344986	0.0182612244712791	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290912	GSM7290912	Pericyte_smooth_muscle	14	84	0.17787331223823	0.191367772030879	0.0564141676821483	0.0150773205161867	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290912	GSM7290912	Pericyte_smooth_muscle	14	78	0.172945512115797	0.174437627309686	0.0517927377036658	0.0138421914007262	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290912	GSM7290912	Pericyte_smooth_muscle	14	335	0.197103685969457	0.201437333485488	0.0448970810505601	0.0119992496398155	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290912	GSM7290912	Pericyte_smooth_muscle	14	166	0.206204776988008	0.199630857064149	0.0551190700688402	0.0147311911196562	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290914	GSM7290914	Injured_undifferentiated_epithelial	13	40	0.107293728694694	0.128326031726453	0.0770387774601817	0.0213667124870573	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290914	GSM7290914	Injured_undifferentiated_epithelial	13	84	0.125932692740968	0.114609953765467	0.049121007989755	0.0136237163853491	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290914	GSM7290914	Injured_undifferentiated_epithelial	13	78	0.134253481800065	0.123426104055118	0.0501359674185672	0.0139052154825104	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290914	GSM7290914	Injured_undifferentiated_epithelial	13	335	0.132001360466536	0.123073565707629	0.0413007745268759	0.011454773867156	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290914	GSM7290914	Injured_undifferentiated_epithelial	13	166	0.141443234862361	0.127373966424292	0.0522431835635297	0.0144896520870603	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290914	GSM7290914	Loop_of_Henle_TAL	4	40	0.245795246013904	0.188476163950504	0.158824032066528	0.0794120160332642	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290914	GSM7290914	Loop_of_Henle_TAL	4	84	0.234296275544129	0.203379336199075	0.0889550300422792	0.0444775150211396	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290914	GSM7290914	Loop_of_Henle_TAL	4	78	0.249814336286013	0.21902390052208	0.0910939802005545	0.0455469901002773	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290914	GSM7290914	Loop_of_Henle_TAL	4	335	0.225652955503426	0.221669595219191	0.0501554159919979	0.0250777079959989	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290914	GSM7290914	Loop_of_Henle_TAL	4	166	0.255905466693335	0.250696364075131	0.0367269654089478	0.0183634827044739	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290913	GSM7290913	Pericyte_smooth_muscle	21	40	0.208919258626197	0.203828266727673	0.0635230739368595	0.0138618711758064	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290913	GSM7290913	Pericyte_smooth_muscle	21	84	0.205289926007699	0.207025318114383	0.0425617642166134	0.00928773839207112	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290913	GSM7290913	Pericyte_smooth_muscle	21	78	0.21106829462031	0.211153145562327	0.039162325802706	0.00854592011340107	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290913	GSM7290913	Pericyte_smooth_muscle	21	335	0.213805724011155	0.215279008732639	0.0384401577291869	0.00838833012000194	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290913	GSM7290913	Pericyte_smooth_muscle	21	166	0.223175253752286	0.227671444019981	0.0391814901196536	0.0085501021102132	Driver-removed module score; donor x compartment descriptive summary.
