module_name	gene	mean_expression_loop_tal	detection_fraction_loop_tal	mean_expression_other_compartments	loop_tal_specificity_ratio	approx_contribution_rank	curated_exemplar	known_tal_marker	known_transport_or_calcium_gene	notes
MAGMA_top50	SLC30A10	0.00464391266780611	0.0037037037037037	0.00210877696499607	2.20218237523872	42	no	no	yes	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	SAG	0	0	0.00059008930101629	1.69465588279919e-06	45	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	RGS14	0.0327941774246494	0.0333333333333333	0.0264414605179315	1.24025589139276	35	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	CLDN10	1.09326925822337	0.714814814814815	0.245884529117042	4.44627101470342	7	yes	yes	yes	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	ZNF512	0.280954727800192	0.274074074074074	0.204641489252142	1.37291185894915	19	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	UMOD	1.64605357247974	0.696296296296296	0.320863665708363	5.13007156704926	2	yes	yes	yes	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	GCKR	0.00347233592075005	0.0037037037037037	0.00170660474881172	2.0346450392352	43	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	ALPL	0.0161812785440674	0.0148148148148148	0.0284220542901335	0.569321232362973	38	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	SLC34A1	0.0013316086853361	0.00185185185185185	0.00212550426575039	0.626490889857185	44	no	no	yes	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	MRPL33	0.689695421138996	0.518518518518519	0.497034908420274	1.38761968036296	10	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	PTGS2	0.0848282787274201	0.0759259259259259	0.262159446314055	0.323575139467698	31	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	ZFPM1	0.1689920963008	0.174074074074074	0.113763478350975	1.48546878369848	26	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	SLC4A1AP	0.128376508593407	0.122222222222222	0.100177107967521	1.2814954525692	27	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	CDK12	0.488327693431487	0.414814814814815	0.272856260163192	1.78968843283909	14	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	FBXL20	0.713886312798299	0.535185185185185	0.435288648304846	1.64002970198826	9	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	GIPR	0.014818281785809	0.0148148148148148	0.0392720057957388	0.377324307944887	39	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	MED1	0.184892584094263	0.174074074074074	0.154650609144675	1.19555031125513	23	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	LRRC37A	0.0616900125746152	0.0703703703703704	0.0382975623415698	1.61080779537883	33	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	SHROOM3	0.878356978668106	0.568518518518519	0.373228971265139	2.35339977584625	8	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	DZIP1	0.639629758696598	0.487037037037037	0.162599907197742	3.93376458071998	11	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	PKD2	1.1213711171622	0.737037037037037	0.785693140959329	1.42723801224199	5	yes	no	yes	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	TRIOBP	0.251623787312602	0.238888888888889	0.269171862873532	0.934807170005053	20	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	RBKS	0.391309448223701	0.331481481481482	0.142642709972449	2.7432838772903	18	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	KCNK5	0.0259001762562734	0.0259259259259259	0.0624933992649449	0.414446599904436	36	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	MXD3	0.0096991116011809	0.0111111111111111	0.011360518428546	0.853756085906566	40	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	YAF2	0.437816095787036	0.348148148148148	0.346913171634551	1.26203364796483	17	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	KANSL1	1.53294020843201	0.848148148148148	0.969594294660707	1.581011992637	3	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	RAB29	0.0853011894044113	0.0851851851851852	0.0639622693472998	1.33361730190699	30	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	SPCS1	0.23630679002401	0.209259259259259	0.378465509059643	0.624381310166865	21	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	MAPT	0.00865009614908086	0.0111111111111111	0.00973623281292379	0.888443859842272	41	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	PRELID1	0.169304911130355	0.162962962962963	0.225483910889154	0.75085140537026	24	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	CRHR1	0	0	0.000343681340677444	2.90966360979987e-06	45	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
R1_MAGMA_Bonferroni_only	ACP4	0	0	0.000462407490281758	2.16259004974297e-06	67	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
