file_path	used_for	source_phase	description	script_mapping	required_for_reproducibility	notes
source_data/figures/phase2_step3_rank_metric_saturation_source_data.tsv.gz	Figure 2 / Supplementary Table 3	Phase 2	phase2 step3 rank metric saturation source data.tsv.gz	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step4_driver_removed_heatmap_source_data.tsv	Figure 2 / Supplementary Table 3	Phase 2	phase2 step4 driver removed heatmap source data.tsv	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step4_driver_removed_matched_random_distribution_source_data.tsv.gz	Figure 2 / Supplementary Table 3	Phase 2	phase2 step4 driver removed matched random distribution source data.tsv.gz	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step4_original_vs_driver_removed_source_data.tsv	Figure 2 / Supplementary Table 3	Phase 2	phase2 step4 original vs driver removed source data.tsv	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase2_step5_Figure2_source_data_manifest.tsv	Figure 2 / Supplementary Table 3	Phase 2	phase2 step5 Figure2 source data manifest.tsv	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase3_step2_label_transfer_qc_source_data.tsv	Supplementary Figure S2	Phase 3	phase3 step2 label transfer qc source data.tsv	scripts/phase3/phase3_step1_spatial_input_audit.R;scripts/phase3/phase3_step1B_spatial_metadata_locking.R;scripts/phase3/phase3_step2_seurat_label_transfer.R;scripts/phase3/phase3_step2B_loop_tal_projection_usability_audit.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase4_step2_Figure3_source_data_candidate_matrix.tsv	Figure 3 / Supplementary Figure S3 / Supplementary Tables 4-5	Phase 4	phase4 step2 Figure3 source data candidate matrix.tsv	scripts/phase4/phase4_step1_twas_audit.R;scripts/phase4/phase4_step2_candidate_evidence_model_repair.R;scripts/phase4/phase6_step4_reexport_figure3_bulk_reviewed.R;scripts/phase4/phase6_step6_reexport_full_candidate_matrix_bulk_reviewed.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase4_step2_Figure3_source_data_reporting_group_counts.tsv	Figure 3 / Supplementary Figure S3 / Supplementary Tables 4-5	Phase 4	phase4 step2 Figure3 source data reporting group counts.tsv	scripts/phase4/phase4_step1_twas_audit.R;scripts/phase4/phase4_step2_candidate_evidence_model_repair.R;scripts/phase4/phase6_step4_reexport_figure3_bulk_reviewed.R;scripts/phase4/phase6_step6_reexport_full_candidate_matrix_bulk_reviewed.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase4_step2_Figure3_source_data_twas_burden.tsv	Figure 3 / Supplementary Figure S3 / Supplementary Tables 4-5	Phase 4	phase4 step2 Figure3 source data twas burden.tsv	scripts/phase4/phase4_step1_twas_audit.R;scripts/phase4/phase4_step2_candidate_evidence_model_repair.R;scripts/phase4/phase6_step4_reexport_figure3_bulk_reviewed.R;scripts/phase4/phase6_step6_reexport_full_candidate_matrix_bulk_reviewed.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase4_step3_Figure3_source_data_manifest.tsv	Figure 3 / Supplementary Figure S3 / Supplementary Tables 4-5	Phase 4	phase4 step3 Figure3 source data manifest.tsv	scripts/phase4/phase4_step1_twas_audit.R;scripts/phase4/phase4_step2_candidate_evidence_model_repair.R;scripts/phase4/phase6_step4_reexport_figure3_bulk_reviewed.R;scripts/phase4/phase6_step6_reexport_full_candidate_matrix_bulk_reviewed.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase5_step2_bulk_paired_difference_summary_source_data.tsv	Figure 4 / Supplementary Table 6	Phase 5	phase5 step2 bulk paired difference summary source data.tsv	scripts/phase5/phase5_step1_bulk_input_audit.R;scripts/phase5/phase5_step2_bulk_module_scoring_paired_model.R;scripts/phase5/phase5_step3_bulk_tissue_state_sensitivity.R;scripts/phase5/phase5_step4_assemble_figure4_bulk_context.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase5_step2_bulk_paired_model_coefficients_source_data.tsv	Figure 4 / Supplementary Table 6	Phase 5	phase5 step2 bulk paired model coefficients source data.tsv	scripts/phase5/phase5_step1_bulk_input_audit.R;scripts/phase5/phase5_step2_bulk_module_scoring_paired_model.R;scripts/phase5/phase5_step3_bulk_tissue_state_sensitivity.R;scripts/phase5/phase5_step4_assemble_figure4_bulk_context.R	yes	author-generated derived source data; no raw third-party data
source_data/figures/phase5_step2_bulk_paired_module_score_lines_source_data.tsv	Figure 4 / Supplementary Table 6	Phase 5	phase5 step2 bulk paired module score lines source data.tsv	scripts/phase5/phase5_step1_bulk_input_audit.R;scripts/phase5/phase5_step2_bulk_module_scoring_paired_model.R;scripts/phase5/phase5_step3_bulk_tissue_state_sensitivity.R;scripts/phase5/phase5_step4_assemble_figure4_bulk_context.R	yes	author-generated derived source data; no raw third-party data
