analysis_level	module_name	signature_name	n_observations	correlation_method	correlation	p_value	fdr_bh	interpretation	notes
sample_level	MAGMA_top100	mineralization_remodeling_proxy	55	Spearman	0.698773448773449	2.98367339652925e-09	5.14426447677457e-09	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top100	mineralization_remodeling_proxy	26	Spearman	0.498803418803419	0.00949091724757085	0.0184714859356429	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top50	injury_KIM1_LCN2_like	55	Spearman	0.745382395382395	6.68973866067857e-11	1.59279491920918e-10	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top50	injury_KIM1_LCN2_like	26	Spearman	0.632136752136752	0.00053139845584653	0.00379114282468266	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top50	inflammatory_stress	55	Spearman	0.626984126984127	3.03017929278556e-07	3.22359499232507e-07	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top50	inflammatory_stress	26	Spearman	0.393504273504273	0.0467151984111255	0.0631286465015209	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top50	epithelial_transport	55	Spearman	0.702886002886003	2.19783782113209e-09	4.0700700391335e-09	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top50	epithelial_transport	26	Spearman	0.534358974358974	0.0049221189766768	0.0117193308968495	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top50	Loop_TAL_transport_proxy	55	Spearman	0.697979797979798	3.16312004145584e-09	5.27186673575973e-09	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top50	Loop_TAL_transport_proxy	26	Spearman	0.654017094017094	0.000290198458636076	0.00290198458636076	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top50	collecting_duct_proxy	55	Spearman	0.668181818181818	2.49375844490889e-08	3.56251206415555e-08	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top50	collecting_duct_proxy	26	Spearman	0.452991452991453	0.020130136600763	0.0296031420599455	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top50	fibroblast_stromal_ECM	55	Spearman	0.787301587301587	1.01365056054603e-12	4.57487733087685e-12	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top50	fibroblast_stromal_ECM	26	Spearman	0.415384615384615	0.0348319512990191	0.0497599304271701	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top50	fibrosis_remodeling	55	Spearman	0.752020202020202	3.6430689123533e-11	9.58702345356131e-11	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top50	fibrosis_remodeling	26	Spearman	0.332649572649573	0.0968259694946953	0.110029510789426	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top50	endothelial_proxy	55	Spearman	0.782828282828283	1.6554555757116e-12	6.36713682966001e-12	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top50	endothelial_proxy	26	Spearman	0.588376068376068	0.00156907737516516	0.00461493345636811	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top50	immune_proxy	55	Spearman	0.650793650793651	7.49329428335596e-08	8.92058843256661e-08	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top50	immune_proxy	26	Spearman	0.410598290598291	0.0371988683197541	0.0516650948885473	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top50	mineralization_remodeling_proxy	55	Spearman	0.714141414141414	9.26662128847286e-10	1.85332425769457e-09	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top50	mineralization_remodeling_proxy	26	Spearman	0.627350427350427	0.000602938518280837	0.00379114282468266	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
