sample_id	section_id	module_name	predicted_compartment	n_spots	mean_module_score	median_module_score	sd_module_score	iqr_module_score	median_prediction_score_max	notes
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	MAGMA_top100	Collecting duct	42	0.0414303232167077	0.0359232607666513	0.0422556772527609	0.0736514586118483	0.748345738022626	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	MAGMA_top50	Injured/undifferentiated epithelial	257	0.192526407964099	0.203186316809145	0.0889444081130588	0.122226676695008	0.985203046262826	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	MAGMA_top50	Collecting duct	42	0.0499512802190228	0.0259050454897886	0.0605284063533842	0.0773984895907824	0.748345738022626	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_Bonferroni	Collecting duct	1358	0.162376917222098	0.164537991384415	0.0606618540248562	0.0808698103276056	0.855819313541645	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_Bonferroni	Injured/undifferentiated epithelial	28	0.187685835099583	0.180607432989433	0.0472845101253541	0.0626602572078052	0.533065484134772	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_FDR05	Collecting duct	1358	0.178152145764497	0.182771466829699	0.0479542329035358	0.0637628478845702	0.855819313541645	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_FDR05	Injured/undifferentiated epithelial	28	0.199486110207113	0.202671890717281	0.0355551086792265	0.0522431235680311	0.533065484134772	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_suggestive_p1e4	Collecting duct	1358	0.168469074501777	0.173293818095115	0.0525823302015259	0.0712216011268322	0.855819313541645	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_suggestive_p1e4	Injured/undifferentiated epithelial	28	0.18890350604055	0.192175048597167	0.0468703481515762	0.0638402023880719	0.533065484134772	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_top100	Collecting duct	1358	0.155755607279269	0.157919502016815	0.0578074319976407	0.0783743788930125	0.855819313541645	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_top100	Injured/undifferentiated epithelial	28	0.179458050338839	0.170636404290279	0.0418611205243769	0.0642014309859557	0.533065484134772	Predicted broad-compartment context only; not true cell fraction or histological ROI.
