gene	twas_z	twas_p	twas_fdr	reference_tissue	n_model_snps	model_class	magma_overlap	current_exemplar_gene	interpretation_class	notes
PLXNB1	-2.74128174781799	0.00612000040171236	0.216643970071564	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
YKT6	2.74020957946777	0.0061400018349982	0.216643970071564	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ANKS6	2.72163414955139	0.0064960013570966	0.226007972069098	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
EXOC3	-2.720304510495	0.00652218238099934	0.226007972069098	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
MAST3	2.71920013427734	0.00654400001562398	0.226007972069098	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SEC14L4	2.71854376792908	0.00655699801575616	0.226007972069098	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MIS18BP1	2.71567916870117	0.00661399778376896	0.226662464279393	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SIGMAR1	2.71214175224304	0.00668499984428794	0.227068260661984	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
OPN3	2.71129989624023	0.00670199796688063	0.227068260661984	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NDUFS5	-2.70768762735103	0.00677537604498069	0.22806803745624	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
HLA-DMB	2.70609283447266	0.0068080011180967	0.22806803745624	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
C1orf220	-2.69864350276713	0.0069622713727205	0.231933096064427	GTEx_v8_Kidney_Cortex	2	multi_snp_model	no	no	not_fdr_supported	proxy only
CCDC47	-2.69094467163086	0.00712500103685621	0.236035451015409	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DLX4	2.68893671035767	0.00716800079231947	0.23614800400332	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MAP3K3	-2.68499898910523	0.00725300255771811	0.237635462921281	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
REXO1	2.67756247520447	0.0074160020657839	0.241356478864626	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MAN2A2	-2.67611980438232	0.00744800160011219	0.241356478864626	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MPIG6B	2.67432427406311	0.00748800076973935	0.241356478864626	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-112L6.3	2.67191386222839	0.00754200056507804	0.24179005037398	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
GPANK1	2.66542983055115	0.00768899760173696	0.244607261678218	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZNF93	2.66177415847778	0.00777300118716508	0.244607261678218	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CYP24A1	-2.66034770011902	0.00780600214238993	0.244607261678218	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
KLHL42	2.65879774093628	0.00784200252632459	0.244607261678218	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CEP57	2.65781092643738	0.0078650003595903	0.244607261678218	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
EPB41L2	-2.65733981132507	0.00787600104682506	0.244607261678218	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TSC22D4	-2.65427088737488	0.00794799932974109	0.245435766817249	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
VARS	2.65270352363586	0.00798499727696567	0.245435766817249	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
PRR13	-2.64281487464905	0.00822199761317952	0.250566506451096	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DZIP1	-2.63990211486816	0.00829299760063219	0.250566506451096	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SPATA24	-2.63977932929993	0.00829600257373888	0.250566506451096	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
UBE2R2	-2.63880014419556	0.00832000138811285	0.250566506451096	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
GSTT2B	2.6357159614563	0.00839599794049918	0.251584601604003	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DTYMK	-2.63362002372742	0.00844799714158784	0.251877034776441	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PGD	-2.62898564338684	0.00856399763274934	0.254065263104897	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PRSS45	-2.62696576118469	0.00861500020044469	0.254313099976493	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
CYP4F11	-2.61525821685791	0.00891600218867093	0.261732871737949	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CBLN1	2.61350035667419	0.00896199901561924	0.261732871737949	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
INVS	-2.61129522323608	0.0090199989583528	0.261732871737949	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZNF781	-2.6104650737651	0.0090419204390437	0.261732871737949	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
PM20D1	2.59909462928772	0.00934700026001802	0.267650328824664	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RASAL3	-2.59788465499878	0.00937999965335724	0.267650328824664	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SLN	2.5978479385376	0.00938100263698723	0.267650328824664	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
