record_type	packaging_source_file	donor_id	sample_id	compartment	n_nuclei	percent_within_donor	notes	module_name	loop_tal_mean_score	other_compartments_mean_score	loop_tal_minus_other	loop_tal_rank_within_donor	n_loop_tal_nuclei	n_other_nuclei	donor_subset	statistic_name	n_observed_genes_used	n_random_sets_successful	observed_value	random_median	random_p025	random_p975	observed_minus_random_median	observed_percentile	empirical_p_one_sided	benchmark_support_class	full_4_donor_value	exclude_GSM7290914_value	donors_loop_tal_ge20_value	donors_loop_tal_ge50_value	interpretation	original_value	driver_removed_value	absolute_change	percent_change	n_driver_removed_genes_used
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							leave_one_out_exclude_GSM7290910	n_donors_loop_tal_top_rank	341	1000	3	3	0	3	0	100	0.7002997002997	not_supported										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							leave_one_out_exclude_GSM7290912	mean_loop_tal_minus_other	341	1000	0.0909730140192231	0.0642811670272736	0.0433943897236216	0.0876902168796272	0.0266918469919495	98.2	0.018981018981019	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							leave_one_out_exclude_GSM7290912	median_loop_tal_minus_other	341	1000	0.0959727495597771	0.063079042332136	0.0411410199766556	0.0875620037475152	0.0328937072276411	99.5	0.00599400599400599	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							leave_one_out_exclude_GSM7290912	n_donors_loop_tal_top_rank	341	1000	3	3	1	3	0	100	0.723276723276723	not_supported										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							leave_one_out_exclude_GSM7290913	mean_loop_tal_minus_other	341	1000	0.0835920905621351	0.0607665616711476	0.0407631034664382	0.0839504451520889	0.0228255288909876	97.4	0.026973026973027	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							leave_one_out_exclude_GSM7290913	median_loop_tal_minus_other	341	1000	0.0738299791885134	0.0522392188045146	0.0348117945125562	0.0728092485481668	0.0215907603839988	97.9	0.021978021978022	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							leave_one_out_exclude_GSM7290913	n_donors_loop_tal_top_rank	341	1000	3	3	1	3	0	100	0.816183816183816	not_supported										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							leave_one_out_exclude_GSM7290914	mean_loop_tal_minus_other	341	1000	0.100898794297869	0.0711888946777709	0.0499406018101312	0.0947624734415162	0.0297098996200977	99.2	0.00899100899100899	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							leave_one_out_exclude_GSM7290914	median_loop_tal_minus_other	341	1000	0.0959727495597771	0.0631115264399188	0.0414399859494017	0.0875620037475152	0.0328612231198583	99.5	0.00599400599400599	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							leave_one_out_exclude_GSM7290914	n_donors_loop_tal_top_rank	341	1000	3	3	1	3	0	100	0.704295704295704	not_supported										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							min_loop_tal_ge20	mean_loop_tal_minus_other	341	1000	0.100898794297869	0.0711888946777709	0.0499406018101312	0.0947624734415162	0.0297098996200977	99.2	0.00899100899100899	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							min_loop_tal_ge20	median_loop_tal_minus_other	341	1000	0.0959727495597771	0.0631115264399188	0.0414399859494017	0.0875620037475152	0.0328612231198583	99.5	0.00599400599400599	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							min_loop_tal_ge20	n_donors_loop_tal_top_rank	341	1000	3	3	1	3	0	100	0.704295704295704	not_supported										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							min_loop_tal_ge50	mean_loop_tal_minus_other	341	1000	0.0849013643741453	0.057449308696021	0.0378477390861548	0.0796680478834911	0.0274520556781243	99.2	0.00899100899100899	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							min_loop_tal_ge50	median_loop_tal_minus_other	341	1000	0.0849013643741453	0.057449308696021	0.0378477390861548	0.0796680478834911	0.0274520556781243	99.2	0.00899100899100899	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							min_loop_tal_ge50	n_donors_loop_tal_top_rank	341	1000	2	2	0	2	0	100	0.704295704295704	not_supported										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_suggestive_p1e4							exclude_GSM7290914	mean_loop_tal_minus_other	172	1000	0.142011856533394	0.0738620056273884	0.0427619519754755	0.106340145718288	0.0681498509060052	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_suggestive_p1e4							exclude_GSM7290914	median_loop_tal_minus_other	172	1000	0.142949600246877	0.0654011359069591	0.0343798898074494	0.100634476162437	0.0775484643399181	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_suggestive_p1e4							exclude_GSM7290914	n_donors_loop_tal_top_rank	172	1000	3	3	0	3	0	100	0.562437562437563	not_supported										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_suggestive_p1e4							full_4_donors	mean_loop_tal_minus_other	172	1000	0.123801987890497	0.0634748450625389	0.0330928263521626	0.0933602711537037	0.0603271428279584	100	0.000999000999000999	strong_matched_random_support										
