correlation_level	module_name	signature_name	n_observations	spearman_r	spearman_p	pearson_r	pearson_p	fdr	interpretation	notes
paired_delta_level	R1_MAGMA_Bonferroni_only	immune_myeloid	26	0.39965811965812	0.0430906497831623	0.497755165390175	0.00966654594223039	0.0829893995823866	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_MAGMA_Bonferroni_only	injury_epithelial	26	0.712136752136752	4.49176714424318e-05	0.804037612054077	7.48730018262818e-07	0.000467143783001291	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_MAGMA_Bonferroni_only	mineralization_remodeling	26	0.597264957264957	0.00127509080168272	0.740363624728048	1.53125712956704e-05	0.00510036320673087	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_MAGMA_Bonferroni_only	pericyte_smooth_muscle	26	0.428376068376068	0.0290090211247928	0.490109735398865	0.0110312132889245	0.0685667772040557	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_MAGMA_Bonferroni_only	proximal_tubule	26	0.141880341880342	0.489326361399107	0.503110253932516	0.00879700111673589	0.541382357292629	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	B_cell	26	0.30051282051282	0.135781157051129	0.450461222159273	0.0209251967535817	0.185805793859439	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	ECM_fibrosis	26	0.558974358974359	0.00299339766925811	0.584629674208049	0.00170944415058345	0.00972854242508887	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	LoopTAL	26	0.373675213675214	0.0600480696679732	0.59764213699196	0.0012637469906639	0.100725794281762	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	T_cell	26	-0.0427350427350427	0.835787871948325	0.284865662692331	0.158385924558101	0.835787871948325	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	collecting_duct	26	0.317606837606838	0.113857676462497	0.380684594104515	0.0550345607914269	0.169159976458566	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	endothelial	26	0.642393162393162	0.000402512712681285	0.649240552319344	0.000332499901916528	0.00229866536739631	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	epithelial_general	26	0.343589743589744	0.0856919741807914	0.402667071331714	0.0414012887121901	0.133101873379865	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	fibroblast_stromal	26	0.686153846153846	0.000108909535396048	0.684166998795748	0.000116116847575014	0.000943882640099086	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	immune_myeloid	26	0.410598290598291	0.0371988683197541	0.460957218823412	0.0177865443874312	0.0780981915926312	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	injury_epithelial	26	0.715555555555556	3.96952669114607e-05	0.788080510697039	1.7528491177326e-06	0.000467143783001291	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	mineralization_remodeling	26	0.564444444444444	0.00266632339101318	0.693199426891089	8.6424974065989e-05	0.00972854242508887	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	pericyte_smooth_muscle	26	0.474871794871795	0.0142306293870655	0.516951433658097	0.00684707706662674	0.0389469856909162	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_R2_R3_all_MAGMA_Bonferroni	proximal_tubule	26	0.0912820512820513	0.657414569916168	0.446681572367526	0.0221603605185245	0.688735923886697	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
