gene	reporting_group	curated_exemplar_flag	broad_compartment	mean_expression	detection_fraction	n_donors_detected	dominant_compartment	loop_tal_detection_fraction	loop_tal_mean_expression	notes
GCKR	R1_MAGMA_Bonferroni_only	no	Loop_of_Henle_TAL	0.002929367782525	0.00185185185185185	1	Loop_of_Henle_TAL	0.00185185185185185	0.002929367782525	descriptive single-gene expression summary; no gene-level causal inference
GCKR	R1_MAGMA_Bonferroni_only	no	Pericyte_smooth_muscle	0	0	0	Loop_of_Henle_TAL	0.00185185185185185	0.002929367782525	descriptive single-gene expression summary; no gene-level causal inference
GIPR	R1_MAGMA_Bonferroni_only	no	Collecting_duct_principal	0.0666521503163653	0.0602599787655313	4	Pericyte_smooth_muscle	0.0555555555555556	0.0682955411894414	descriptive single-gene expression summary; no gene-level causal inference
GIPR	R1_MAGMA_Bonferroni_only	no	Endothelial	0.0537023967785387	0.0465207193119625	4	Pericyte_smooth_muscle	0.0555555555555556	0.0682955411894414	descriptive single-gene expression summary; no gene-level causal inference
GIPR	R1_MAGMA_Bonferroni_only	no	Fibroblast_stromal	0.0636705771697491	0.0572764465225015	4	Pericyte_smooth_muscle	0.0555555555555556	0.0682955411894414	descriptive single-gene expression summary; no gene-level causal inference
GIPR	R1_MAGMA_Bonferroni_only	no	Injured_undifferentiated_epithelial	0.0575457555749893	0.0533672172808132	4	Pericyte_smooth_muscle	0.0555555555555556	0.0682955411894414	descriptive single-gene expression summary; no gene-level causal inference
GIPR	R1_MAGMA_Bonferroni_only	no	Loop_of_Henle_TAL	0.0682955411894414	0.0555555555555556	3	Pericyte_smooth_muscle	0.0555555555555556	0.0682955411894414	descriptive single-gene expression summary; no gene-level causal inference
GIPR	R1_MAGMA_Bonferroni_only	no	Pericyte_smooth_muscle	0.068978410857401	0.0743243243243243	2	Pericyte_smooth_muscle	0.0555555555555556	0.0682955411894414	descriptive single-gene expression summary; no gene-level causal inference
GNL3	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Collecting_duct_principal	0.127132078223834	0.103532382564779	4	Loop_of_Henle_TAL	0.0962962962962963	0.131857914381805	descriptive single-gene expression summary; no gene-level causal inference
GNL3	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Endothelial	0.128728269397997	0.0989053948397185	4	Loop_of_Henle_TAL	0.0962962962962963	0.131857914381805	descriptive single-gene expression summary; no gene-level causal inference
GNL3	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Fibroblast_stromal	0.115203135723807	0.0996493278784337	4	Loop_of_Henle_TAL	0.0962962962962963	0.131857914381805	descriptive single-gene expression summary; no gene-level causal inference
GNL3	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Injured_undifferentiated_epithelial	0.127939082695619	0.101651842439644	3	Loop_of_Henle_TAL	0.0962962962962963	0.131857914381805	descriptive single-gene expression summary; no gene-level causal inference
GNL3	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Loop_of_Henle_TAL	0.131857914381805	0.0962962962962963	4	Loop_of_Henle_TAL	0.0962962962962963	0.131857914381805	descriptive single-gene expression summary; no gene-level causal inference
GNL3	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Pericyte_smooth_muscle	0.11540312945556	0.0810810810810811	3	Loop_of_Henle_TAL	0.0962962962962963	0.131857914381805	descriptive single-gene expression summary; no gene-level causal inference
HIBADH	R1_MAGMA_Bonferroni_only	yes	Collecting_duct_principal	0.344019415845976	0.245286808803696	4	Loop_of_Henle_TAL	0.272222222222222	0.408749295180532	descriptive single-gene expression summary; no gene-level causal inference
HIBADH	R1_MAGMA_Bonferroni_only	yes	Endothelial	0.329009683275335	0.23807662236122	4	Loop_of_Henle_TAL	0.272222222222222	0.408749295180532	descriptive single-gene expression summary; no gene-level causal inference
HIBADH	R1_MAGMA_Bonferroni_only	yes	Fibroblast_stromal	0.335710308648135	0.242548217416715	4	Loop_of_Henle_TAL	0.272222222222222	0.408749295180532	descriptive single-gene expression summary; no gene-level causal inference
HIBADH	R1_MAGMA_Bonferroni_only	yes	Injured_undifferentiated_epithelial	0.326147683787416	0.229563744176197	4	Loop_of_Henle_TAL	0.272222222222222	0.408749295180532	descriptive single-gene expression summary; no gene-level causal inference
HIBADH	R1_MAGMA_Bonferroni_only	yes	Loop_of_Henle_TAL	0.408749295180532	0.272222222222222	4	Loop_of_Henle_TAL	0.272222222222222	0.408749295180532	descriptive single-gene expression summary; no gene-level causal inference
HIBADH	R1_MAGMA_Bonferroni_only	yes	Pericyte_smooth_muscle	0.352946627300846	0.22972972972973	3	Loop_of_Henle_TAL	0.272222222222222	0.408749295180532	descriptive single-gene expression summary; no gene-level causal inference
