module_name	donor_id	sample_id	disease_status	broad_compartment	n_nuclei	n_genes_detected	mean_module_score	median_module_score	sd_module_score	sem_module_score	detection_fraction_mean	low_cell_count_flag	notes
MAGMA_top100	GSM7290910	GSM7290910	healthy_control	Loop_of_Henle_TAL	29	91	0.332476731896957	0.34679002947356	0.0684377474425083	0.0127085706554122	0.269420234937476	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290910	GSM7290910	healthy_control	Pericyte_smooth_muscle	113	91	0.216519882306873	0.220530588046057	0.059329265820906	0.00558122784636039	0.167655353496061	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290912	GSM7290912	healthy_control	Collecting_duct_principal	16248	91	0.167011143631692	0.165690872889856	0.0909543571218009	0.00071354859174198	0.112366154279005	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290912	GSM7290912	healthy_control	Endothelial	810	91	0.204757158893657	0.208777947912772	0.0673291263803834	0.002365704358126	0.154904354904355	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290912	GSM7290912	healthy_control	Fibroblast_stromal	1733	91	0.190783837285891	0.195608799082023	0.075439701770231	0.00181217728140464	0.127391362244219	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290912	GSM7290912	healthy_control	Injured_undifferentiated_epithelial	55	91	0.157906050851614	0.155584856490885	0.0653208040351758	0.00880785541930078	0.0845154845154845	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290912	GSM7290912	healthy_control	Loop_of_Henle_TAL	244	91	0.312030032499336	0.31308151288122	0.0655314588766062	0.00419522176600577	0.207395063952441	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290912	GSM7290912	healthy_control	Pericyte_smooth_muscle	14	91	0.192723339351633	0.192063120703193	0.0537873612844693	0.0143752769760795	0.131868131868132	yes	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290913	GSM7290913	stone_disease	Collecting_duct_principal	1385	91	0.209263948126023	0.219867553677453	0.0821212849369155	0.00220663676322823	0.165834887134526	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290913	GSM7290913	stone_disease	Endothelial	305	91	0.21504462240518	0.222721421807942	0.0646210501983357	0.00370019057051799	0.188794811745631	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290913	GSM7290913	stone_disease	Fibroblast_stromal	761	91	0.213333299175114	0.224888361604058	0.0702514644561259	0.00254661359699347	0.174293512007047	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
